,tinh,huyen,xa,diaban,hoso,matv,age,male,married,yoeduc,income,sector
30353,82,819,28399,30,13,1,30,1,1,0,8911,HomeBusiness
16882,44,454,19066,20,15,3,18,1,0,10,23316,HomeBusiness
15026,38,402,16183,4,15,1,50,0,0,0,5324,HomeBusiness
27257,75,731,26377,3,14,1,39,1,1,0,24724,Private
19898,51,535,21490,11,15,1,28,1,1,6,6358,FarmForestAqua
31114,83,835,29077,7,14,2,33,0,1,0,1868,HomeBusiness
27735,75,741,26428,44,13,1,34,1,1,4,37078,Private
4173,11,99,3289,19,13,1,36,1,1,3,13705,Private
33447,89,890,30517,16,13,2,38,1,1,5,15610,FarmForestAqua
33430,89,889,30490,16,19,4,24,1,1,9,36400,Private
17166,45,461,19333,21,15,4,25,0,0,16,20025,StateRun
18049,46,481,20047,2,13,1,28,1,1,5,5149,HomeBusiness
48,1,1,28,20,13,3,31,1,0,16,43781,Private
8467,24,223,7846,1,13,1,40,1,1,9,29443,HomeBusiness
34229,91,908,30985,20,14,1,32,1,1,14,16785,StateRun
9019,25,238,8584,21,15,3,26,1,0,9,11200,HomeBusiness
13744,36,366,14227,7,15,2,57,0,1,9,4559,HomeBusiness
20710,54,559,22120,14,14,3,15,0,0,9,360,StateRun
15122,38,404,16351,8,14,2,48,0,1,9,19520,HomeBusiness
22748,62,608,23305,3,14,2,40,0,1,9,18499,StateRun
4895,14,116,3679,7,20,1,28,0,1,8,19790,Private
20779,54,560,22171,6,13,1,34,1,1,9,8860,StateRun
31761,84,849,29464,19,15,2,39,0,1,2,6000,HomeBusiness
23383,64,628,23771,10,13,2,21,1,0,9,9621,HomeBusiness
25332,68,679,25030,8,19,4,38,1,1,16,27618,StateRun
28562,79,764,26881,4,15,3,20,1,0,12,86441,StateRun
17730,46,474,19801,16,13,5,29,1,1,12,11502,FarmForestAqua
35919,94,951,31679,8,13,2,34,0,1,8,8160,HomeBusiness
11011,31,304,11365,10,19,1,40,1,1,16,111071,StateRun
15822,40,426,17506,7,15,1,53,1,1,9,9233,StateRun
11902,33,330,12223,15,13,3,18,0,0,9,17172,Private
27405,75,735,26182,27,13,2,23,0,0,12,24680,Foreign
7457,22,195,6766,11,13,3,24,1,0,12,45322,StateRun
10677,30,297,10999,1,13,2,50,0,1,12,36112,StateRun
10350,30,290,10573,2,15,1,46,1,1,9,44257,HomeBusiness
17444,45,468,19603,6,13,2,29,0,1,16,18429,StateRun
312,1,6,205,2,20,1,54,1,1,12,23793,Private
288,1,6,190,39,13,2,30,1,0,16,153212,Foreign
9710,27,256,9169,14,15,2,45,0,1,9,15072,HomeBusiness
13787,36,366,14284,8,15,2,48,0,1,14,28977,StateRun
29298,79,778,27475,36,13,2,27,0,1,12,79546,StateRun
30014,80,806,28135,8,14,3,29,1,0,9,50357,Private
22737,62,608,23305,3,13,1,37,1,1,16,84657,Foreign
20563,54,555,22027,11,13,2,44,1,1,10,1410,HomeBusiness
10713,30,297,11035,7,14,3,19,1,0,9,10632,HomeBusiness
43,1,1,22,19,19,2,47,1,1,16,75619,StateRun
35506,94,943,31531,6,19,2,40,1,1,12,26368,StateRun
31925,86,857,29587,13,15,1,34,1,1,1,13379,Private
573,1,9,367,51,14,3,40,0,1,16,65848,StateRun
11497,31,315,11821,7,14,3,32,1,1,10,25831,HomeBusiness
17090,44,457,19258,16,13,4,27,1,0,12,17945,StateRun
31893,86,855,29566,11,15,5,26,1,0,12,15588,Private
6743,19,172,5854,9,15,4,28,0,1,9,18692,Foreign
35406,94,941,31507,5,14,1,52,1,1,11,24937,Private
12437,34,341,12895,2,14,1,34,1,1,11,51475,Private
31731,84,848,29458,8,15,4,14,1,0,5,9846,FarmForestAqua
318,1,6,211,19,14,2,42,0,0,16,36857,StateRun
35896,94,951,31672,17,13,3,16,1,0,9,6084,Private
21777,58,585,22813,19,15,2,28,0,1,0,9035,FarmForestAqua
17955,46,479,19966,14,14,2,30,0,1,16,24067,Private
20953,54,564,22243,7,14,2,35,0,1,9,9600,HomeBusiness
530,1,9,343,24,19,6,32,0,1,16,25613,StateRun
1537,1,280,10312,7,15,1,39,1,1,12,18170,HomeBusiness
34703,92,923,31216,14,15,2,39,0,1,2,13442,FarmForestAqua
19348,49,519,20669,6,14,3,23,1,0,9,10579,FarmForestAqua
24776,67,665,24724,9,15,1,23,1,1,6,9561,FarmForestAqua
6380,19,164,5461,2,15,2,60,1,1,9,12325,Private
27066,75,731,26002,15,14,2,34,0,1,9,35155,Foreign
22006,58,588,22849,5,15,4,15,1,0,0,4199,FarmForestAqua
23704,64,639,23971,11,13,1,43,0,0,9,13228,FarmForestAqua
25248,68,678,24982,10,13,1,29,1,1,6,14162,FarmForestAqua
30475,82,820,28471,7,14,6,20,0,1,7,6617,Private
2676,6,61,1894,6,13,1,38,1,1,12,20625,StateRun
781,1,18,574,2,14,3,25,1,1,12,37443,Foreign
7392,22,193,6706,10,15,2,41,0,1,7,37000,StateRun
25978,72,703,25465,30,15,3,20,1,0,11,31622,HomeBusiness
16921,44,455,19111,10,14,3,28,1,0,18,21434,StateRun
34894,92,927,31279,7,14,2,40,1,1,9,30000,FarmForestAqua
5316,14,125,4126,15,15,1,33,1,1,5,5098,StateRun
24044,66,648,24280,11,14,1,52,1,1,9,16100,HomeBusiness
4879,14,116,3646,12,19,1,38,0,1,12,46872,StateRun
33697,89,893,30670,15,15,2,53,0,1,0,19289,FarmForestAqua
18538,48,493,20278,13,14,8,28,1,1,8,99000,StateRun
